date,code,open,high,low,close,preclose,volume,amount
2016-07-04,sh.000300,3136.385,3210.602,3134.023,3204.696,3154.2,13331052900,149894780037.0
2016-07-05,sh.000300,3199.157,3216.703,3197.996,3207.383,3204.696,13022689500,143899100428.0
2016-07-06,sh.000300,3197.625,3217.516,3183.451,3216.803,3207.383,12489745800,147232471496.0
2016-07-07,sh.000300,3206.551,3220.54,3190.124,3209.954,3216.804,11859520200,140488833675.0
2016-07-08,sh.000300,3199.754,3204.928,3183.959,3192.281,3209.954,8973485500,111063465417.0
2016-07-11,sh.000300,3199.038,3235.962,3197.625,3203.33,3192.28,13852951100,155288151673.0
2016-07-12,sh.000300,3201.906,3273.474,3200.303,3273.182,3203.33,17253421700,190853738897.0
2016-07-13,sh.000300,3274.02,3300.991,3271.775,3282.868,3273.182,17519609000,196592300322.0
2016-07-14,sh.000300,3277.482,3281.95,3259.065,3276.764,3282.868,10752579800,128090420917.0
2016-07-15,sh.000300,3278.836,3285.026,3265.291,3276.278,3276.764,10266502600,125179812929.0
2016-07-18,sh.000300,3269.708,3281.637,3251.766,3262.022,3276.278,11031251800,129785706199.0
2016-07-19,sh.000300,3260.435,3264.73,3226.199,3248.234,3262.022,8888686100,107108911172.0
2016-07-20,sh.000300,3246.863,3254.508,3232.257,3237.605,3248.234,7270125500,91367448994.0
2016-07-21,sh.000300,3238.337,3271.374,3238.303,3252.523,3237.605,8600482500,107464072513.0
2016-07-22,sh.000300,3251.242,3253.769,3220.894,3225.162,3252.523,8602912800,107416887320.0
2016-07-25,sh.000300,3220.166,3243.79,3218.142,3230.885,3225.162,7020318500,92015844035.0
2016-07-26,sh.000300,3228.234,3269.746,3228.008,3269.588,3230.885,8105108900,103745762758.0
2016-07-27,sh.000300,3270.084,3276.511,3157.409,3218.243,3269.588,16018866500,186928366498.0
2016-07-28,sh.000300,3204.465,3235.781,3195.27,3221.136,3218.243,11277996400,137295892753.0
2016-07-29,sh.000300,3217.192,3225.418,3198.684,3203.93,3221.136,8804483700,103787029748.0
2016-08-01,sh.000300,3196.425,3199.975,3156.749,3176.809,3203.93,8700349700,98818634361.0
2016-08-02,sh.000300,3173.758,3189.053,3165.542,3189.053,3176.809,6216763900,70640763842.0
2016-08-03,sh.000300,3179.684,3197.157,3173.536,3193.507,3189.052,7286410200,79754323301.0
2016-08-04,sh.000300,3190.546,3201.554,3170.419,3201.289,3193.507,7350437300,86919591121.0
2016-08-05,sh.000300,3201.354,3224.873,3192.861,3205.11,3201.288,7719636600,94429542391.0
2016-08-08,sh.000300,3199.572,3234.479,3187.252,3234.183,3205.11,8667605100,102638114597.0
2016-08-09,sh.000300,3232.603,3257.333,3229.174,3256.981,3234.183,9106525900,105924052436.0
2016-08-10,sh.000300,3255.182,3261.861,3242.751,3243.341,3256.981,9043037200,106157448028.0
2016-08-11,sh.000300,3239.558,3274.026,3232.613,3233.36,3243.34,10104121300,116996159046.0
2016-08-12,sh.000300,3231.806,3294.234,3231.137,3294.234,3233.36,11625404400,129354686387.0
2016-08-15,sh.000300,3303.469,3417.915,3302.378,3393.424,3294.233,22054342100,258897463910.0
2016-08-16,sh.000300,3403.384,3418.688,3372.021,3378.245,3393.423,19638974000,226785231085.0
2016-08-17,sh.000300,3377.771,3394.389,3356.924,3373.048,3378.245,13884768800,167917530856.0
2016-08-18,sh.000300,3369.947,3394.791,3349.688,3364.485,3373.047,14238016900,172256533000.0
2016-08-19,sh.000300,3358.555,3374.045,3341.192,3365.02,3364.485,11996150800,135382706293.0
2016-08-22,sh.000300,3364.681,3372.833,3335.469,3336.795,3365.019,10795100800,128201783812.0
2016-08-23,sh.000300,3332.621,3359.648,3324.96,3341.83,3336.794,9292451600,108503692377.0
2016-08-24,sh.000300,3341.93,3348.129,3323.725,3329.863,3341.829,8119142900,94012832200.0
2016-08-25,sh.000300,3314.085,3315.081,3279.806,3308.972,3329.863,10058915300,112578140010.0
2016-08-26,sh.000300,3312.499,3328.945,3301.736,3307.09,3308.972,8153069100,93213205560.0
2016-08-29,sh.000300,3306.575,3315.079,3297.07,3307.781,3307.09,7703633300,88011642022.0
2016-08-30,sh.000300,3310.319,3325.122,3304.597,3311.987,3307.781,7572598700,89513016667.0
2016-08-31,sh.000300,3310.565,3333.973,3304.655,3327.794,3311.987,7957080500,99215044445.0
